sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
727,4010805000702,登記記録の閉鎖等,0,2022-04-01,2022-03-29,医療法人財団安田病院,,その他の設立登記法人,東京都,大田区,大森北１丁目１１番１８号,,13,111,1430016,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,ヤスダビョウイン,0
745,4011303002356,登記記録の閉鎖等,0,2022-04-01,2022-03-30,合同会社ボン,,合同会社,東京都,杉並区,桃井４丁目１１番２０号,,13,115,1670034,,,2022-03-30,清算の結了等,,,2015-12-09,1,,,,,ボン,0
753,4011803002913,登記記録の閉鎖等,0,2022-04-01,2022-03-30,合同会社復優,,合同会社,神奈川県,横浜市南区,永田北１丁目２８－２４ホドガヤスカイハイツ５１０,,14,105,2320071,,,2022-03-30,清算の結了等,,,2017-06-07,1,,,,,フクユウ,0
764,4021002017613,登記記録の閉鎖等,0,2022-04-01,2022-03-30,有限会社アトリエ・エヌ,,有限会社,神奈川県,相模原市中央区,星が丘１丁目２０番１１号,,14,152,2520238,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,アトリエエヌ,0
774,4040001087517,登記記録の閉鎖等,0,2022-04-01,2022-03-25,株式会社健明,,株式会社,東京都,千代田区,大手町１丁目１番地１号大手町パークビルディング８階８２４号室,,13,101,1000004,,,2022-03-25,清算の結了等,,,2015-10-05,1,,,,,ケンミン,0
777,4040002011616,登記記録の閉鎖等,0,2022-04-01,2022-03-28,有限会社名城恒産,,有限会社,千葉県,千葉市若葉区,加曽利町１０３２番地７０,,12,104,2640017,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,,0
778,4040002014866,登記記録の閉鎖等,0,2022-04-01,2022-03-28,有限会社システムエイト,,有限会社,千葉県,千葉市花見川区,作新台６丁目５番２２号,,12,102,2620045,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,システムエイト,0
782,4050002026448,登記記録の閉鎖等,0,2022-04-01,2022-03-28,有限会社幸栄,,有限会社,茨城県,鹿嶋市,大字宮中３１１番地の３,,08,222,3140031,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,コウエイ,0
783,4060001023065,登記記録の閉鎖等,0,2022-04-01,2022-03-28,株式会社ＹＯ企画,,株式会社,栃木県,足利市,島田町８６１番地４,,09,202,3260337,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,ワイオーキカク,0
786,4060002025309,登記記録の閉鎖等,0,2022-04-01,2022-03-28,有限会社コーセ製作所,,有限会社,栃木県,大田原市,佐久山２３５３番地,,09,210,3240032,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,コーセセイサクショ,0
804,4120001111292,登記記録の閉鎖等,0,2022-04-01,2022-03-28,メークプログレス４３株式会社,,株式会社,大阪府,大阪市東淀川区,下新庄５丁目１５番１４号,,27,114,5330021,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,,0
819,4120902000775,登記記録の閉鎖等,0,2022-04-01,2022-03-30,有限会社佐野トレーディング,,有限会社,広島県,東広島市,西条町寺家７４１４番地２,,34,212,7390041,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,サノトレーディング,0
822,4122002014648,登記記録の閉鎖等,0,2022-04-01,2022-03-30,有限会社富士産業,,有限会社,大阪府,八尾市,南木の本２丁目２７番地の１３,,27,212,5810042,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,フジサンギョウ,0
836,4160001019391,登記記録の閉鎖等,0,2022-04-01,2022-03-30,ウッドアイ株式会社,,株式会社,滋賀県,野洲市,南桜１８８番地２,,25,210,5202300,,,2022-03-30,清算の結了等,,,2016-04-08,1,,,,,ウッドアイ,0
839,4170002000688,登記記録の閉鎖等,0,2022-04-01,2022-03-31,扇ノ芝有限会社,00045440,有限会社,和歌山県,和歌山市,吹上３丁目２番３２号,,30,201,6408137,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,オウギノシバ,0
843,4180001036716,登記記録の閉鎖等,0,2022-04-01,2022-03-29,株式会社ジェムス,,株式会社,愛知県,名古屋市中区,古渡町１８番９号,,23,106,4600025,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,ジェムス,0
870,4220001013306,登記記録の閉鎖等,0,2022-04-01,2022-03-29,株式会社トラヤ事務機,,株式会社,石川県,加賀市,黒瀬町ル６９番地１,,17,206,9220823,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,トラヤジムキ,0
871,4220001017034,登記記録の閉鎖等,0,2022-04-01,2022-03-29,株式会社マザーネイチャー,,株式会社,石川県,珠洲市,熊谷町８の部３番地,,17,205,9271212,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,マザーネイチャー,0
872,4220005006834,登記記録の閉鎖等,0,2022-04-01,2022-03-29,一般社団法人ソーシャルビジネス創出機構,,その他の設立登記法人,石川県,珠洲市,熊谷町８の部３番地,,17,205,9271212,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,ソーシャルビジネスソウシツキコウ,0
907,4360001019891,登記記録の閉鎖等,0,2022-04-01,2022-03-28,ホルス・レジデンス沖縄株式会社,,株式会社,沖縄県,国頭郡本部町,字瀬底２２６８番地１ｔｉｌｌａＳｅａＱ２０５,,47,308,9050227,,,2022-03-28,清算の結了等,,,2015-10-05,1,,,,,,0
913,4380005008690,登記記録の閉鎖等,0,2022-04-01,2022-03-30,特定非営利活動法人かわひがしクリエート２１,,その他の設立登記法人,福島県,会津若松市,河東町郡山字休ミ石１４番地,,07,202,9693481,,,2022-03-30,清算の結了等,,,2015-10-05,1,,,,,カワヒガシクリエートニイチ,0
930,4460302001803,登記記録の閉鎖等,0,2022-04-01,2022-03-31,有限会社スズキ,,有限会社,北海道,北見市,留辺蘂町元町７５番地８,,01,208,0910001,,,2022-03-31,清算の結了等,,,2015-10-05,1,,,,,スズキ,0
931,4470001007844,登記記録の閉鎖等,0,2022-04-01,2022-03-29,天草船舶塗装工業株式会社,,株式会社,香川県,仲多度郡多度津町,西港町４６番地２,,37,404,7640017,,,2022-03-29,清算の結了等,,,2015-10-05,1,,,,,アマクサセンパクトソウコウギョウ,0
956,5010401019179,登記記録の閉鎖等,0,2022-04-01,2022-03-24,東機不動産株式会社,,株式会社,東京都,港区,三田３丁目１１番３６号,,13,103,1080073,,,2022-03-24,清算の結了等,,,2015-10-05,1,,,,,トウキフドウサン,0
